shock_id,shock_label,shock_var,shock_delta,target_var,expected_dir,actual_delta,match,rationale,condition
S1_electricity,Electricity access +20 pp  (infrastructure investment),electricity_access,20.0,gdp_growth,+,0.0,,Higher productivity from electrification,local
S1_electricity,Electricity access +20 pp  (infrastructure investment),electricity_access,20.0,internet_users,+,2.946722,True,Digital infrastructure piggybacks on power,local
S1_electricity,Electricity access +20 pp  (infrastructure investment),electricity_access,20.0,life_expectancy,+,0.0,,Healthcare and food storage improvements,local
S1_electricity,Electricity access +20 pp  (infrastructure investment),electricity_access,20.0,private_credit,+,0.0,,More economic activity -> more bankable projects,local
S1_electricity,Electricity access +20 pp  (infrastructure investment),electricity_access,20.0,urban_population,+,0.0,,Electrified areas attract migration,local
S2_govt_debt,Government debt +15 pp GDP  (fiscal expansion),govt_debt,15.0,real_interest_rate,+,0.0,,Crowding-out raises cost of capital,local
S2_govt_debt,Government debt +15 pp GDP  (fiscal expansion),govt_debt,15.0,inflation,+,0.0,,Monetization risk and demand pressure,local
S2_govt_debt,Government debt +15 pp GDP  (fiscal expansion),govt_debt,15.0,private_credit,-,0.0,,Crowded out by govt borrowing,local
S2_govt_debt,Government debt +15 pp GDP  (fiscal expansion),govt_debt,15.0,gdp_growth,+,0.0,,Short-run Keynesian stimulus multiplier,local
S2_govt_debt,Government debt +15 pp GDP  (fiscal expansion),govt_debt,15.0,tax_revenue,+,0.0,,Higher income base boosts tax receipts,local
S3_inflation,Inflation shock +5 pp  (external price pressure),inflation,5.0,real_interest_rate,+,0.0,,Central bank raises policy rate,local
S3_inflation,Inflation shock +5 pp  (external price pressure),inflation,5.0,exports_gdp,-,0.0,,Competitiveness loss via REER appreciation,local
S3_inflation,Inflation shock +5 pp  (external price pressure),inflation,5.0,broad_money,+,0.0,,Monetization -- more money in system,local
S3_inflation,Inflation shock +5 pp  (external price pressure),inflation,5.0,private_credit,-,0.0,,Higher rates discourage borrowing,local
S3_inflation,Inflation shock +5 pp  (external price pressure),inflation,5.0,current_account,-,0.0,,"Import costs rise, trade balance deteriorates",local
S3_inflation,Inflation shock +5 pp  (external price pressure),inflation,5.0,unemployment,+,0.0,,Stagflation dynamic at high inflation,local
S4_private_credit,Private credit +5 pp GDP  (FDI / capital availability surge),private_credit,5.0,gdp_growth,+,0.0,,Investment multiplier (Romer 1990 endogenous growth),local
